crop,area,soil_type,temperature,humidity,rainfall,ph,nitrogen,phosphorus,potassium,fertilizer_used,yield
Rice,5.0,Alluvial,28,75,1200,6.5,80,40,100,150,42.5
Rice,3.5,Clay,30,80,1400,6.2,90,45,110,180,48.2
Rice,2.0,Loamy,26,70,1100,6.8,70,35,90,120,38.5
Wheat,4.0,Alluvial,18,55,400,7.0,65,35,50,130,32.8
Wheat,6.0,Loamy,16,50,450,6.8,75,40,60,160,38.5
Wheat,3.0,Sandy,20,48,380,7.2,55,30,45,100,28.2
Maize,5.5,Loamy,28,65,800,6.5,100,50,80,200,55.2
Maize,4.0,Alluvial,30,70,900,6.2,110,55,90,220,62.5
Maize,2.5,Sandy,26,60,700,6.8,80,40,70,150,45.8
Cotton,8.0,Black,32,55,600,7.0,60,30,40,120,14.5
Cotton,6.0,Alluvial,30,60,700,6.8,70,35,50,140,16.2
Cotton,4.0,Loamy,28,58,650,7.2,55,28,35,100,12.8
Sugarcane,10.0,Loamy,30,75,1500,6.5,120,60,90,250,720
Sugarcane,8.0,Alluvial,28,70,1300,6.8,100,55,80,200,650
Sugarcane,5.0,Clay,32,80,1600,6.2,130,65,100,280,780
Soybean,4.5,Loamy,26,70,800,6.5,25,60,50,80,26.5
Soybean,3.0,Black,28,65,750,6.8,30,55,45,70,24.2
Soybean,2.0,Alluvial,24,68,700,6.2,20,50,40,60,22.5
Groundnut,3.5,Sandy,30,55,500,6.0,20,40,45,60,19.2
Groundnut,2.5,Loamy,32,60,550,5.8,25,45,50,70,22.5
Groundnut,4.0,Red,28,50,480,6.2,18,35,40,55,17.8
Potato,3.0,Loamy,18,70,500,5.5,100,60,130,180,215
Potato,2.0,Sandy,16,65,450,5.8,90,55,120,160,195
Potato,4.0,Alluvial,20,72,550,5.2,110,65,140,200,235
Tomato,1.5,Loamy,25,65,450,6.5,80,45,70,120,265
Tomato,2.0,Sandy,28,60,400,6.2,90,50,80,140,285
Tomato,1.0,Alluvial,22,70,480,6.8,70,40,60,100,245
Onion,2.0,Loamy,22,55,400,6.5,60,45,70,90,185
Onion,1.5,Alluvial,20,50,380,6.8,55,40,65,80,175
Onion,3.0,Sandy,24,52,420,6.2,65,50,75,100,195
Mustard,4.0,Loamy,18,45,350,7.0,40,25,25,60,12.5
Mustard,3.0,Sandy,16,40,320,7.2,35,20,20,50,10.8
Mustard,2.5,Alluvial,20,48,380,6.8,45,28,30,70,14.2
Sunflower,5.0,Loamy,26,55,450,6.5,60,35,40,100,18.5
Sunflower,3.5,Black,28,60,500,6.8,70,40,45,120,21.2
Sunflower,4.0,Alluvial,24,50,420,6.2,55,30,35,80,16.5
Barley,3.5,Loamy,16,45,350,7.0,50,28,30,80,32.5
Barley,4.0,Sandy,14,40,300,7.2,45,25,25,70,28.8
Barley,2.5,Alluvial,18,48,380,6.8,55,30,35,90,35.2
Millet,3.0,Sandy,32,40,350,6.5,40,22,25,50,24.5
Millet,2.0,Loamy,30,45,400,6.8,45,25,30,60,28.2
Millet,4.0,Red,34,38,320,6.2,35,20,22,45,21.8
Sorghum,4.5,Black,32,50,450,7.0,50,28,30,70,30.5
Sorghum,3.0,Red,30,48,420,6.8,45,25,28,60,27.2
Sorghum,5.0,Loamy,28,52,480,7.2,55,30,32,80,33.8
